1110	509	0	KVI	kappa Virginids                         	 annual 	0	6	208	-8	0.92	-0.35	37.4	2.5	0.139	0.938	321	6	8	58	0	0	? 2011 BT59                             	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2013JIMO...41...70S' target=_blank> Segon et al., 2013 </A> 
1122	515	0	OLE	omicron Leonids                         	 annual 	0	296	144	7	0.67	-0.27	41.5	1.8	0.079	0.968	151	116	23	38	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2013JIMO...41...70S' target=_blank> Segon et al., 2013 </A> 
1191	548	1	FAQ	15 Aquariids                            	 annual 	0	113	318.2	-2.1	0.84	0.23	37.7	1.97183098591549	0.14	0.929	322.2	112.7	34.8	39	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2014JIMO...42...90A' target=_blank> Andreic et al., 2014</A> 
1290	610	0	SGM	68 Geminids                             	 annual 	0	263	112.5	13.6	0.84	-0.08	40.7	2.24324324324324	0.083	0.963	150.2	83	28	28	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2014JIMO...42..227S' target=_blank> Segon et al., 2014 </A> 
1337	640	0	AOA	August omicron Aquariids                	 annual 	0	137	348.5	-14.4	0.94	0.39	38.2	2.22	0.112	0.95	146.1	317	24.9	316	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 331 </A>
1339	641	0	DRG	December rho Geminids                   	 annual 	0	262	113.2	32.4	1.15	-0.16	39.5	2.12	0.111	0.949	325.7	261.8	30.9	60	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 331 </A>
1341	642	0	PCE	phi Cetids                              	 annual 	0	161	8.2	-5.3	0.91	0.39	36.5	2.25	0.145	0.931	140.8	341.1	19.4	23	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 331 </A>
1342	643	0	OLS	omega Leonids                           	 annual 	0	287	136.5	8.9	0.96	-0.29	44.9	2.45	0.054	0.986	153.6	107.6	37.4	10	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1343	644	0	JLL	January lambda Leonids                  	 annual 	0	288	140.2	23.4	1.03	-0.31	38.6	1.84	0.098	0.947	327.3	277.7	22.4	24	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
1362	660	0	EPS	epsilon Scorpiids                       	 annual 	0	49	251.5	-31	1.15	-0.12	39.2	2.64	0.127	0.952	143.4	229.6	24.3	6	0	0	                                        	                                                                                                                                                      	T   	1) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016, Icarus, 266, 384</A>
