particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.479	0.98172	26.3786	231.1826	237.4078	180.8026	0.0453	4.9126	6	2556	229	7	3011	330
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.0651	0.97289	14.392	174.6575	208.5092	217.1541	0.056	4.0743	6	251	nan	8	172	nan
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.5095	0.97706	41.0087	171.0825	17.4095	5.1673	0.0576	4.9614	7	201	36	9	1150	72
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4405	0.97838	27.3022	33.9878	13.8347	340.3685	0.0528	4.8282	6	130	31	8	529	60
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4962	0.97828	55.4505	56.0506	24.5041	264.2629	0.0542	4.9382	6	364	7	nan	nan	7
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.6276	0.98308	13.0198	233.2927	163.83	55.2539	0.0445	5.2108	5	42	nan	7	42	nan
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.5406	0.97985	20.7536	225.375	37.7264	210.2756	0.0512	5.03	6	966	54	8	1083	49
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4532	0.97788	14.6017	142.1721	55.5026	346.1632	0.0543	4.8521	6	902	51	8	937	36
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4958	0.98021	30.5349	109.7876	251.7239	336.7327	0.0494	4.9421	7	3166	507	7	4265	291
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4953	0.97784	39.9065	269.6568	191.65	66.6338	0.0553	4.9352	6	139	29	8	151	24
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4862	0.97758	21.1892	140.9793	56.266	303.7074	0.0557	4.9167	6	1696	45	9	1791	24
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4812	0.9773	25.0421	195.5872	27.9008	338.3393	0.0563	4.9061	7	902	72	8	998	37
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.515	0.97849	14.1757	203.6452	71.4084	331.7929	0.0541	4.9758	7	1153	36	8	1248	13
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4675	0.9779	16.6249	356.4886	312.5731	357.2543	0.0545	4.8804	7	834	13	8	859	13
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.4694	0.97848	28.2275	115.6628	204.8873	110.9862	0.0531	4.8856	6	860	49	9	1055	26
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.5105	0.9794	36.4479	212.0896	36.528	49.8229	0.0517	4.9694	6	2209	107	8	3219	321
particle_3:1_agt2.5_igt6_hle14.4/particle_3:1_agt2.5_igt6_hle14.4.out:DISRUPTION	2.5251	0.98093	26.2502	97.3459	36.5303	174.1209	0.0481	5.0021	5	1445	46	7	1553	26
particle_3:1_agt2.5_ile6_hle14.4/particle_3:1_agt2.5_ile6_hle14.4.out:DISRUPTION	2.3787	0.9804	12.1913	98.7451	33.8929	295.293	0.0466	4.7107	5	199	38	8	401	36
particle_3:1_agt2.5_ile6_hle14.4/particle_3:1_agt2.5_ile6_hle14.4.out:DISRUPTION	2.4631	0.9832	20.2018	227.4654	342.6607	247.0661	0.0414	4.8849	5	107	nan	6	71	nan
particle_3:1_agt2.5_ile6_hle14.4/particle_3:1_agt2.5_ile6_hle14.4.out:DISRUPTION	2.2866	0.97648	4.4974	191.1785	253.2466	292.6148	0.0538	4.5194	6	32	nan	8	32	13
particle_3:1_agt2.5_ile6_hle14.4/particle_3:1_agt2.5_ile6_hle14.4.out:DISRUPTION	2.0334	0.97158	24.3278	246.4426	5.5995	176.9262	0.0578	4.009	6	274	nan	8	191	nan
particle_3:1_agt2.5_ile6_hle14.4/particle_3:1_agt2.5_ile6_hle14.4.out:DISRUPTION	2.3226	0.97941	13.5887	33.1842	184.8322	256.3237	0.0478	4.5974	5	36	12	7	36	nan
particle_3:1_agt2.5_ile6_hle14.4/particle_3:1_agt2.5_ile6_hle14.4.out:DISRUPTION	2.498	0.97838	40.5734	63.4327	187.6474	123.6175	0.054	4.942	6	73	nan	9	85	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.5407	0.98505	22.3978	140.2083	172.2021	2.9244	0.038	5.0433	5	39	nan	7	51	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.3505	0.97628	4.7849	39.8717	318.8006	74.099	0.0558	4.6452	6	29	13	8	17	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.4733	0.9771	29.456	221.7467	203.5307	48.7352	0.0566	4.89	7	839	60	7	980	46
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.5822	0.97852	28.7922	53.4491	161.3011	227.9354	0.0555	5.1089	7	155	nan	9	262	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.5053	0.97883	13.8328	193.4412	24.2798	248.7462	0.053	4.9575	7	60	13	8	72	22
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.3382	0.97756	22.9176	61.9388	3.7875	168.5184	0.0525	4.624	7	8	nan	7	8	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	1.3418	0.95724	12.4018	22.7527	48.8727	271.3467	0.0574	2.6262	5	9172	6075	7	9233	6071
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.4932	0.98328	74.7632	173.7457	23.66	226.579	0.0417	4.9448	nan	nan	nan	nan	nan	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.4934	0.9774	38.2849	66.2213	188.77	233.8057	0.0564	4.9304	7	85	nan	10	97	5
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.4101	0.97975	10.5913	297.1978	316.6523	195.8398	0.0488	4.7713	5	325	25	7	393	25
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.4721	0.97729	9.7374	179.048	312.5637	96.2303	0.0561	4.888	7	508	13	10	484	13
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.4394	0.98583	35.157	10.6165	189.6129	39.4222	0.0346	4.8443	5	48	nan	6	48	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.5928	0.97994	7.1137	244.8159	343.3287	321.1566	0.052	5.1336	6	36	nan	8	36	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.5279	0.98757	24.0467	160.1446	194.5218	188.4379	0.0314	5.0245	5	29	13	5	41	25
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.4816	0.97927	19.6315	243.3719	1.1715	12.0752	0.0514	4.9117	6	37	nan	9	25	nan
particle_3:1_alt2.5_hgt14.4/particle_3:1_alt2.5_hgt14.4.out:DISRUPTION	2.989	0.98082	16.8295	273.7999	88.3637	116.1074	0.0573	5.9207	8	1179	74	11	1785	103
