173	26	5	NDA	Northern delta Aquariids                	2002/08 	1	139	345.7	2.3	0.72	0.26	37.3	1.7	0.0955	0.944	329.94	139	23.4	2096	297	2	                                        	Member of 297/DAQ                                                                                                                                     	R   	6) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
175	26	7	NDA	Northern delta Aquariids                	 annual 	1	146.5	351.5	4	       	       	38.1	2.08163265306123	0.102	0.951	328	146.5	21.1	143	297	2	                                        	Member of 297/DAQ, see also <A href='http://adsabs.harvard.edu/abs/2012JIMO...40..166H' target=_blank> Holman and Jenniskens 2012</A>                 	T   	8) <A href='http://adsabs.harvard.edu/abs/2014me13.conf..225K' target=_blank>Kornos et al., 2014</A> 
176	26	8	NDA	Northern delta Aquariids                	 annual 	1	141	347.6	2.1	0.91	0.39	38.4	1.97	0.09	0.955	330.7	140.8	22.3	251	297	2	                                        	Member of 297/DAQ, see also <A href='http://adsabs.harvard.edu/abs/2012JIMO...40..166H' target=_blank> Holman and Jenniskens 2012</A>                 	T   	9) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
306	110	1	AAN	alpha Antliids                          	 annual 	1	313.1	162.1	-13.3	0.68	-0.16	42.7	1.7875	0.143	0.92	141.9	133.1	64.3	327	0	0	                                        	 in 2) this stream is named 'Peak 1'                                                                                                                  	R   	2) <A href='http://adsabs.harvard.edu/abs/2002dsso.conf...48G' target=_blank>Galligan and Baggaley, 2002</A>
307	110	2	AAN	alpha Antliids                          	2002/06 	1	315.5	162.7	-12.6	0.84	-0.36	44.75	2.47	0.138	0.9443	140.5	135.5	63.5	563	0	0	                                        	 in 2) this stream is named 'Peak 1'                                                                                                                  	R   	3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
308	110	3	AAN	alpha Antliids                          	2002/08 	1	312	160.7	-12.3	0.745	-0.36	43.25	1.94	0.1367	0.929	141.99	132	64.3	1228	0	0	                                        	 in 2) this stream is named 'Peak 1'                                                                                                                  	R   	4) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
309	110	4	AAN	alpha Antliids                          	 annual 	1	312	157.2	-9.5	0.89	-0.37	45	3.57	0.143	0.965	138.3	133.4	58.6	34	0	0	                                        	 in 2) this stream is named 'Peak 1'                                                                                                                  	T   	5) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
398	152	0	NOC	Northern Daytime omega Cetids           	1968/69 	1	47.8	2.3	17.8	       	       	33	0.967	0.108	0.888314374353671	25.6	47.8	42	16	0	0	C/2003 Q1 (SOHO)?                       	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A> 
400	152	2	NOC	Northern Daytime omega Cetids           	2002/06 	1	45.5	9	17.3	0.95	0.36	36.8	1.58	0.118	0.9256	33.1	45.1	34.2	1256	0	0	C/2003 Q1 (SOHO)?                       	                                                                                                                                                      	R   	3) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
402	153	0	OCE	Southern Daytime omega Cetids           	1968/69 	1	48.6	22.5	-3.6	       	       	36.6	1.623	0.122	0.92483056069008	213.9	228.6	32.6	11	0	0	                                        	                                                                                                                                                      	R   	1) <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A> 
