# shr	Tj	optical_width	radar_width
AIC	3.1	36
AOA	2.7	39
APG	8.9		3
BSX	2.5		8
CMI	3.3	60
DBA	8.7		
DPL	2.5		11
DRG	2.8	3
EPS	2.4	20
FAQ	3.0		
FGV	3.7	18
IOL	3.5		
JEA	3.8	29
JKL	3.3	31
JLC	2.5	8
JLL	3.2	35
JTL	3.3	25
KCT	7.2		5
KVI	2.6	
MIC	3.4		26
NMV	2.4	71
OEV	2.4	12
OLE	3.2	87
OLS	2.3		
OVI	3.8	7
PCE	2.8		
PHP	7.2	16
RPI	2.9	35
SAR	4.6		
SGM	2.6	
SMV	2.9	77
TOP	4.5		4
XLI	4.1		
XXL	2.7	10
ZPI	3.3	41
