full_name,a,e,i,om,w,q,per_y,H
"  1566 Icarus (1949 MA)",1.077933978069936,.826810028209165,22.85233700526169,88.08176571328511,31.29738216487599,.1866873552543148,1.11917099150428,16.9
"  3200 Phaethon (1983 TB)",1.271094831980733,.8901360540871246,22.23152439268103,265.2878681240908,322.1182221049298,.1396474938708667,1.4330954980894,14.6
"  5786 Talos (1991 RC)",1.081515617580794,.8267510569851785,23.22455555470003,161.3040870231268,8.356863012854642,.1873714375998945,1.12475360835052,17.1
" 66391 (1999 KW4)",.6421955966193644,.6887202065964705,38.88256672296911,244.9096151821919,192.6184288766822,.1999025126403321,0.514646694066587,16.5
" 89958 (2002 LY45)",1.641568561160605,.8864150307682823,9.913912811816662,188.2157566438002,222.8785751939943,.1864575145111824,2.10327830082357,17.0
"105140 (2000 NL10)",.9143017902407684,.8169362193157511,32.52838203306217,237.3683208541675,281.6100416937877,.1673755424078522,0.874263923237873,15.8
"137924 (2000 BD19)",.876481464875679,.8949806076909436,25.72204326295896,333.7188339253206,324.3251068053725,.0920475508113954,0.820582605922639,17.2
"139289 (2001 KR1)",1.259629467636186,.8412425565353061,23.25075033119697,102.7752161822713,291.4303701715726,.1999755539947142,1.41374935614692,17.6
"141851 (2002 PM6)",1.197925254392092,.8500321819492168,19.17188789868771,304.1230532395804,224.4102311120777,.1796502365891113,1.3111512197997,17.7
"153201 (2000 WO107)",.9115351760110958,.7806841882623806,7.770972173234761,69.25502083541213,213.7115870647982,.1999140770542672,0.870298733020035,19.3
"155140 (2005 UD)",1.274778677227342,.8723566804783414,28.67495582003698,19.73702524853965,207.5857844448286,.1627169820167269,1.43933003520055,17.3
"259221 (2003 BA21)",1.100224305099752,.8331256455734132,23.70886374597528,308.876564087457,18.13345272728883,.1835992206379612,1.15406442666367,19.1
"267223 (2001 DQ8)",1.842287273837808,.9008332918518216,12.77299684071436,342.669269006422,14.8183580403265,.1826935644097772,2.50060002048131,18.1
"276033 (2002 AJ129)",1.370452175394259,.9148814919838678,15.45349225513865,138.0391402768091,211.0063858259996,.1166508444770221,1.60436814033414,18.7
"289227 (2004 XY60)",.6402673966039283,.7967197634501676,23.7701575395074,122.6149978781231,130.8520273123888,.1301537078367919,0.512330585432474,18.9
"302169 (2001 TD45)",.7967363189803276,.7775000577928821,25.39416805198571,30.27548896973409,212.4431902108097,.1772737849274347,0.711180965624116,19.9
"364136 (2006 CJ)",.6764866823036945,.7549576026165389,10.2421256244911,303.2895181091881,29.60040764279713,.1657679184296811,0.556412757694391,20.2
"374158 (2004 UL)",1.266387270744155,.9266654435164551,23.78171810802896,39.57811531619361,149.5702431408596,.09286994883642956,1.42514156610038,18.8
"386454 (2008 XM)",1.222260909266697,.9091859152812856,5.448351546122495,240.6366623833965,27.35888143940953,.1109985057625188,1.35130718399515,20.0
"387505 (1998 KN3)",1.542051483783083,.8732947085108713,2.290709569747793,313.3889427530968,71.09033281980233,.1953860827439789,1.91494591571354,18.4
"394130 (2006 HY51)",2.589655472017213,.9683810660135574,33.44328424745735,40.66146832674216,341.9206492628086,.08188214541734198,4.16745756456819,17.2
"394392 (2007 EP88)",.8373059368203446,.88586841981603,20.747879875,328.5353763635005,47.08032268124322,.09556304966672524,0.76618643384496,18.5
"399457 (2002 PD43)",2.508374767786184,.9559606718841579,26.03516212647291,315.1384290373573,210.839647372377,.110467139436035,3.9728012373755,19.1
"425755 (2011 CP4)",.9114661716624903,.8702761152533668,9.442594215962542,148.0514376159808,159.8645558019829,.1182389326031999,0.870199910842599,21.2
"431760 (2008 HE)",2.261183556747604,.9505492457548299,9.838427421541352,215.3251354029002,185.3713391525017,.1118172323679454,3.40025846288128,18.1
"455426 (2003 MT9)",2.533997756526594,.9222168181037457,6.834538008572491,233.3529065832248,200.6998946927756,.1971024084206085,4.03382953363052,18.6
"465402 (2008 HW1)",2.585960540684571,.9599924902809293,10.48554956211447,127.7177715863438,250.4737777016162,.1034578414645714,4.15854152781622,17.3
"482533 (2012 UA34)",.7859261162609666,.8016447912822786,19.80218147752383,19.03352136329122,222.35978398521,.1558925388276522,0.696756105696584,19.7
"504181 (2006 TC)",1.538390884447413,.9119164942779768,19.61001301311808,152.1219109070225,61.16717312007552,.135506862272932,1.90813127162761,18.7
"506491 (2003 UW29)",1.169597285251985,.8385310403598947,3.759677289845893,196.5739885123653,55.16428446331562,.1888536568475295,1.26491903956736,20.6
"       (1995 CR)",.9067337425159876,.8684189074961081,4.035074270183858,342.7842082321538,322.3904957839119,.1193090164503963,0.863431460019804,21.7
"       (2000 LK)",2.184802934271864,.9446005436065926,16.58664263052566,199.7109970183277,194.3411800874144,.1210368948853826,3.22943544695375,18.4
"       (2004 QX2)",1.285288388215491,.9024918683504531,19.05489297054969,320.3662619998369,218.6315342137782,.12532606936575,1.45716616413416,21.7
"       (2005 EL70)",2.474573971553152,.9341846225852661,16.76397863631296,167.5674511969548,220.2184640136124,.1628650198784476,3.89277106146127,24.0
"       (2005 HC4)",1.822982237546105,.9613212182807431,8.40395384386056,63.771369995276,309.0463722016108,.07051073204412826,2.46139808216,20.7
"       (2005 RV24)",1.505655979746047,.88182883556004,36.26848363057499,166.3800113508334,33.42644180301789,.1779251203725792,1.84755268745807,20.6
"       (2007 GT3)",1.99338848677099,.9393468206373567,25.42468440613601,15.74571849615213,341.8943773754403,.1209053494275489,2.81446673921892,19.7
"       (2007 MK6)",1.080975670708997,.8187344836339475,25.14114957194775,92.8879464758537,25.46054477924352,.1959436131302063,1.12391141331888,20.3
"       (2007 PR10)",1.231883264583209,.8923863569106216,20.92518165391574,335.1545653091667,190.6977192227097,.1325674459626357,1.36729597446945,20.7
"       (2008 EY68)",.7450182698322703,.7599574447801009,19.79480093577947,175.4837547234049,198.989794638561,.1788360891760465,0.643070498974424,22.4
"       (2008 FF5)",2.277592340215457,.9651477164286546,2.621691288677075,15.30932972194092,19.9123211902883,.07937929410111332,3.43733763090674,23.1
"       (2008 MG1)",.7832147305393498,.8227386277376427,5.717687762903085,352.3607226709336,108.940813287268,.1388337179114975,0.693153583394695,19.9
"       (2009 HU58)",2.066585318985687,.909041039187043,35.82061172041895,62.52236896963403,285.6302560034253,.1879744530462512,2.97090121936834,19.1
"       (2010 JG87)",2.762919794713024,.9474635913749335,16.9056670306353,207.4806891668258,266.5409513184053,.1451538833333282,4.59262112456667,19.1
"       (2010 VA12)",1.26928604137607,.8433793220392124,37.39918189005513,44.66173125721792,132.9210781720142,.1987964403264844,1.43003760593305,19.5
"       (2011 BT59)",2.497327844820546,.9485393191537916,3.580352496539743,38.88927829842409,303.0798302060643,.1285141911906595,3.94658573267029,21.0
"       (2011 KE)",2.206062196801474,.9546321933282899,5.886035220031985,205.0090102098268,188.5577303705988,.1000842032502575,3.2766860421097,19.8
"       (2011 WN15)",1.21653299122978,.8579528818597946,33.45689958248849,75.58575757756763,218.5268595850543,.172805005526674,1.34181931436404,19.6
"       (2011 XA3)",1.466573767200785,.9260417468561104,28.02541398297346,273.4503619664216,323.9158362972208,.1084652339288234,1.77608632705992,20.4
"       (2011 YX62)",2.525036085478622,.9267098193337804,8.617800315725166,82.08234613022127,152.8323223763488,.1850603508934522,4.01244955841511,23.0
"       (2012 US68)",2.503559368448535,.9579427264230489,25.82554201072997,40.51313480408801,190.7275332425973,.105292881274979,3.9613666780245,18.2
"       (2013 AJ91)",2.531336721682552,.9286065589448546,33.29730418061038,95.37146201082432,165.8217660103563,.1807208390301684,4.02747711539228,19.3
"       (2013 HK11)",2.189228920834448,.9363966904206962,17.7042863409063,73.55846989585496,281.7465343619895,.1392422047917986,3.23925372906896,20.7
"       (2013 JA36)",2.666996062882736,.9484240815644867,42.50614751797151,56.30541745824561,31.46443574015548,.1375527714070752,4.35553756887364,21.0
"       (2013 WM)",2.071720897941679,.9155811766927039,4.146593111467957,239.410490035485,40.90880829353036,.1748922404253714,2.98198237764002,23.8
"       (2013 YC)",2.496666774337074,.9428871053187459,2.804830117673658,262.3641302754525,34.46507329217798,.1425918665368998,3.94501877860764,21.4
"       (2015 DZ53)",1.510738820743478,.8701587342312482,8.333588285023394,57.05179461207474,250.6546639328779,.1961562407313246,1.85691611875118,20.8
"       (2015 DU180)",1.926142328828759,.921929259246864,4.852823805224391,51.83918425391397,315.3261800058735,.1503753584076317,2.67325732396922,20.8
"       (2015 EV)",2.031851195042979,.9602607237404592,11.35643554445103,168.9270637219879,152.924128619075,.08074429595809099,2.89631671304459,22.5
"       (2015 HG)",2.099712673424656,.9500904687928841,17.73359980990553,205.337901198845,197.7237856237634,.1047956752002647,3.04262203808002,21.0
"       (2015 KO120)",1.781497682611263,.9268542403412812,2.096024809417881,241.0863763360163,198.9615162789482,.130309001324848,2.37785897932711,22.0
"       (2015 KJ122)",.7853489688194236,.7503718066924309,5.068075387707742,187.9821966486641,229.7064660238329,.1960452442023552,0.695988748893189,22.0
"       (2015 KP157)",1.651689870525365,.9102732270714439,22.39953426506339,53.73181638213988,3.458705815562997,.1482008019610257,2.12276031694293,19.2
"       (2015 RD36)",2.542695078255058,.9251554872028149,.4434410597686987,17.91502526804507,193.9058619381955,.1903067743238002,4.05461502949608,22.5
"       (2015 VQ64)",1.193463423877306,.8482277503351495,8.527978005405764,1.435346665623207,253.0169460441028,.1811346287345738,1.30383271176054,21.5
"       (2016 GU2)",2.054395913399556,.9574974744018914,10.27708697352492,16.51719427881511,21.02482054721346,.08731701489791437,2.94465497600888,24.0
"       (2016 NT22)",1.245473623918673,.8704506790523304,17.76622307842122,315.8355052507848,146.1740673059844,.1613502622368972,1.38998465011607,19.5
"       (2016 XK24)",.5798496703025886,.7352195073226615,8.415126081676064,12.65106221934268,257.7966810608186,.1535328813815117,0.441551458981401,20.4
"       (2017 AF5)",2.479437839269105,.9496964793140819,20.89708539791528,323.3000215245857,11.18041306515513,.1247244526371216,3.90425378000031,17.8
"       (2017 EP22)",1.971560833049808,.9070280008516637,14.74733653117217,10.42355827655019,19.76051579044874,.1832999520912,2.76836579815933,22.4
"       (2017 HE4)",2.892573387578344,.9427853434261895,41.0700806879245,208.6401454711271,158.9393343386763,.1654975929848387,4.91965651268639,21.2
"       (2017 MM7)",2.06221358870107,.9614466095919817,23.46631495580896,250.8158232707896,230.5042632352036,.07950532558991283,2.96147907685225,21.1
"       (2017 SK10)",2.055603377217921,.9319420892950468,24.51573391027844,3.32893545773006,202.4345497583062,.1399000710914974,2.94725142300525,21.4
"       (2017 TC1)",2.489970639167797,.9695289870703989,9.288061353112155,274.3660039745766,253.0705217336933,.07587192754040901,3.92915843695979,20.9
"       (2018 GG5)",1.98690399642183,.9446101091477961,16.73880494960125,3.693092657225636,347.7197518342366,.1100543954956129,2.80074472841562,19.8
"  321P/SOHO",2.426630318554877,.9806622092195985,19.7363116677891,165.2691489466613,172.4062039751661,.04692566940159335,3.7801900215754,
"  322P/SOHO",2.51626146560583,.9786764762641811,12.58923564712983,359.5244877541514,49.04947677107452,.0536555610873724,3.99155256115544,
"  323P/SOHO",2.610536708377317,.9817284048892367,6.485264440642934,322.1822742254121,355.0741626256408,.047698669757255,4.21796439067849,
"  342P/SOHO",3.043003759113562,.9826020621617956,13.2747864590719,43.40094149131597,58.70418485035059,.05294199024248015,5.30837916030891,
"     P/2008 Y12 (SOHO)",3.078224129104039,.9787495374822994,23.34562318136519,312.5525907382889,146.614161143522,.06541368647660686,5.40080577627972,
